record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1071838305","-138842320","1992127360","1243.81","130","16.0","8.701","168","79","16.0","8.701",
"1071838306","-138842624","1992126464","1252.52","130","16.0","8.764","165","81","16.0","8.764",
"1071838307","-138842736","1992125568","1261.35","131","16.0","8.845","160","81","16.0","8.845",
"1071838308","-138842704","1992124544","1270.22","130","15.799999999999955","8.932","160","85","15.799999999999955","8.932",
"1071838309","-138842592","1992123648","1279.3","130","15.799999999999955","9.024","159","85","15.799999999999955","9.024",
"1071838310","-138842448","1992122624","1288.37","129","15.600000000000023","9.137","162","84","15.600000000000023","9.137",
"1071838311","-138842320","1992121728","1297.45","129","15.600000000000023","9.245","165","84","15.600000000000023","9.245",
"1071838312","-138842416","1992120576","1306.89","128","15.600000000000023","9.34","166","84","15.600000000000023","9.34",
"1071838313","-138842976","1992119808","1316.21","127","15.399999999999977","9.387","165","85","15.399999999999977","9.387",
"1071838314","-138843840","1992119296","1325.6","127","15.600000000000023","9.386","166","85","15.600000000000023","9.386",
"1071838315","-138844800","1992118912","1334.91","128","15.600000000000023","9.346","166","84","15.600000000000023","9.346",
"1071838316","-138845808","1992118912","1344.23","128","15.600000000000023","9.292","169","84","15.600000000000023","9.292",
"1071838317","-138846800","1992118784","1353.6","127","15.799999999999955","9.219","171","85","15.799999999999955","9.219",
"1071838318","-138847760","1992118656","1362.66","128","15.799999999999955","9.119","172","85","15.799999999999955","9.119",
"1071838319","-138848640","1992118016","1371.82","128","15.799999999999955","9.108","169","86","15.799999999999955","9.108",
"1071838320","-138849424","1992117504","1380.97","128","15.799999999999955","9.092","170","86","15.799999999999955","9.092",
"1071838321","-138850064","1992116736","1389.92","128","15.799999999999955","9.105","171","86","15.799999999999955","9.105",
"1071838322","-138850352","1992115840","1399.11","128","15.600000000000023","9.171","171","86","15.600000000000023","9.171",
"1071838323","-138850208","1992114944","1408.31","127","15.600000000000023","9.243","169","86","15.600000000000023","9.243",
"1071838324","-138849760","1992114048","1417.54","127","15.399999999999977","9.299","165","86","15.399999999999977","9.299",
"1071838325","-138849232","1992113152","1426.92","128","15.399999999999977","9.346","169","86","15.399999999999977","9.346",
"1071838326","-138848656","1992112256","1436.35","129","15.399999999999977","9.382","157","86","15.399999999999977","9.382",
"1071838327","-138848080","1992111488","1445.69","131","15.200000000000045","9.414","164","84","15.200000000000045","9.414",
"1071838328","-138847488","1992110592","1455.12","133","15.200000000000045","9.45","165","84","15.200000000000045","9.45",
"1071838329","-138846928","1992109696","1464.55","135","15.200000000000045","9.485","163","84","15.200000000000045","9.485",
"1071838330","-138846432","1992108800","1474.15","134","15.0","9.522","166","84","15.0","9.522",
"1071838331","-138846144","1992107904","1483.58","131","15.0","9.56","166","85","15.0","9.56",
"1071838332","-138846112","1992106752","1493.18","130","14.799999999999955","9.602","164","85","14.799999999999955","9.602",
"1071838333","-138846304","1992105728","1502.88","129","14.799999999999955","9.643","166","85","14.799999999999955","9.643",
"1071838334","-138846720","1992104704","1512.48","127","14.600000000000023","9.68","166","85","14.600000000000023","9.68",
"1071838335","-138847312","1992103808","1522.2","127","14.600000000000023","9.715","167","85","14.600000000000023","9.715",
"1071838336","-138848064","1992103168","1531.91","126","14.600000000000023","9.745","168","85","14.600000000000023","9.745",
"1071838337","-138848944","1992102528","1541.79","126","14.399999999999977","9.769","168","85","14.399999999999977","9.769",
"1071838338","-138849888","1992102016","1551.53","125","14.399999999999977","9.786","163","85","14.399999999999977","9.786",
"1071838339","-138850896","1992101888","1561.28","125","14.399999999999977","9.791","161","85","14.399999999999977","9.791",
"1071838340","-138851936","1992101632","1571.11","125","14.200000000000045","9.79","169","85","14.200000000000045","9.79",
"1071838341","-138852976","1992101504","1580.88","123","14.200000000000045","9.777","172","85","14.200000000000045","9.777",
"1071838342","-138854032","1992101504","1590.69","123","14.200000000000045","9.756","173","85","14.200000000000045","9.756",
"1071838343","-138855088","1992101504","1600.33","123","14.200000000000045","9.734","165","86","14.200000000000045","9.734",
"1071838344","-138856128","1992101504","1610.12","122","14.200000000000045","9.693","157","86","14.200000000000045","9.693",
"1071838345","-138857168","1992101632","1619.69","121","14.0","9.642","163","86","14.0","9.642",
"1071838346","-138858192","1992101888","1629.33","122","14.0","9.599","164","84","14.0","9.599",
"1071838347","-138859232","1992101888","1639.02","122","14.0","9.571","167","84","14.0","9.571",
"1071838348","-138860224","1992102016","1648.47","122","14.0","9.565","174","85","14.0","9.565",
"1071838349","-138861248","1992102272","1657.99","123","14.0","9.531","169","85","14.0","9.531",
"1071838350","-138862272","1992102400","1667.62","123","14.0","9.498","176","87","14.0","9.498",
"1071838351","-138863280","1992102528","1677.15","124","14.0","9.471","169","87","14.0","9.471",
"1071838352","-138864272","1992102912","1686.55","123","14.0","9.441","170","88","14.0","9.441",
"1071838353","-138865264","1992103168","1695.96","123","14.0","9.415","171","88","14.0","9.415",
"1071838354","-138866256","1992103296","1705.39","124","14.0","9.376","170","87","14.0","9.376",
"1071838355","-138867264","1992103296","1714.77","125","14.0","9.357","167","87","14.0","9.357",
"1071838356","-138868256","1992103424","1724.03","125","14.0","9.345","171","86","14.0","9.345",
"1071838357","-138869248","1992103680","1733.43","128","14.0","9.342","167","86","14.0","9.342",
"1071838358","-138870160","1992104064","1742.74","128","14.0","9.31","167","84","14.0","9.31",
"1071838359","-138870960","1992104704","1751.99","127","14.0","9.296","168","84","14.0","9.296",
"1071838360","-138871728","1992105344","1761.32","126","14.0","9.262","167","83","14.0","9.262",
"1071838361","-138872464","1992105984","1770.59","126","14.0","9.224","168","83","14.0","9.224",
"1071838362","-138873168","1992106752","1779.81","125","14.0","9.182","169","84","14.0","9.182",
"1071838363","-138873840","1992107520","1788.88","126","14.0","9.145","170","84","14.0","9.145",
"1071838364","-138874512","1992108160","1798.08","126","14.0","9.121","171","85","14.0","9.121",
"1071838365","-138875152","1992108928","1807.1","125","14.0","9.099","171","85","14.0","9.099",
"1071838366","-138875776","1992109696","1816.28","124","14.0","9.08","169","87","14.0","9.08",
"1071838367","-138876368","1992110592","1825.35","125","14.0","9.058","170","87","14.0","9.058",
"1071838368","-138876896","1992111360","1834.33","125","14.0","9.05","169","86","14.0","9.05",
"1071838369","-138877376","1992112256","1843.37","126","14.0","9.06","169","86","14.0","9.06",
"1071838370","-138877760","1992113152","1852.51","126","14.0","9.088","175","86","14.0","9.088",
"1071838371","-138877952","1992114048","1861.68","126","14.0","9.148","176","88","14.0","9.148",
"1071838372","-138877904","1992115072","1870.83","126","14.0","9.196","173","88","14.0","9.196",
"1071838373","-138877600","1992116096","1880.01","126","14.0","9.24","172","89","14.0","9.24",
"1071838374","-138877152","1992116992","1889.21","126","13.799999999999955","9.291","172","89","13.799999999999955","9.291",
"1071838375","-138876624","1992117888","1898.56","126","13.799999999999955","9.342","170","87","13.799999999999955","9.342",
"1071838376","-138876016","1992118656","1907.96","126","13.600000000000023","9.412","169","87","13.600000000000023","9.412",
"1071838377","-138875392","1992119552","1917.41","126","13.600000000000023","9.464","172","86","13.600000000000023","9.464",
"1071838378","-138874768","1992120192","1926.97","126","13.399999999999977","9.528","171","86","13.399999999999977","9.528",
"1071838379","-138874208","1992121088","1936.46","125","13.399999999999977","9.572","169","86","13.399999999999977","9.572",
"1071838380","-138873792","1992122112","1945.99","126","13.200000000000045","9.607","167","86","13.200000000000045","9.607",
"1071838381","-138873504","1992123136","1955.7","126","13.200000000000045","9.642","168","86","13.200000000000045","9.642",
"1071838382","-138873264","1992124032","1965.27","126","13.200000000000045","9.641","171","86","13.200000000000045","9.641",
"1071838383","-138873136","1992125184","1974.97","126","13.200000000000045","9.603","168","86","13.200000000000045","9.603",
"1071838384","-138873168","1992126208","1984.51","127","13.200000000000045","9.555","167","86","13.200000000000045","9.555",
"1071838385","-138873408","1992127104","1994.02","127","13.200000000000045","9.505","168","87","13.200000000000045","9.505",
"1071838386","-138873872","1992128000","2003.56","127","13.200000000000045","9.465","169","87","13.200000000000045","9.465",
"1071838387","-138874512","1992129024","2012.97","127","13.200000000000045","9.434","173","86","13.200000000000045","9.434",
"1071838388","-138875280","1992129536","2022.34","127","13.200000000000045","9.403","166","86","13.200000000000045","9.403",
"1071838389","-138876128","1992130304","2031.8","127","13.200000000000045","9.369","167","87","13.200000000000045","9.369",
"1071838390","-138876992","1992130560","2041.15","127","13.200000000000045","9.329","162","87","13.200000000000045","9.329",
"1071838391","-138877856","1992131200","2050.44","127","13.200000000000045","9.295","166","86","13.200000000000045","9.295",
"1071838392","-138878704","1992131712","2059.67","126","13.200000000000045","9.268","156","86","13.200000000000045","9.268",
"1071838393","-138879552","1992132224","2069.02","126","13.200000000000045","9.253","152","84","13.200000000000045","9.253",
"1071838394","-138880368","1992132736","2078.21","126","13.200000000000045","9.227","145","84","13.200000000000045","9.227",
"1071838395","-138881136","1992133504","2087.49","126","13.200000000000045","9.187","140","82","13.200000000000045","9.187",
"1071838396","-138881760","1992134272","2096.54","128","13.200000000000045","9.148","153","82","13.200000000000045","9.148",
"1071838397","-138882272","1992135168","2105.69","129","13.200000000000045","9.12","149","80","13.200000000000045","9.12",
